N=1024,N=512,N=256,N=128,N=64
0,0,0,0,0
1,1,1,1,1
2,2,2,2,2
4,4,4,4,4
8,8,8,8,8
16,16,16,16,16
32,32,32,32,32
3,3,3,3,3
5,5,5,5,5
64,64,64,64,9
9,9,9,9,6
6,6,6,6,17
17,17,17,17,10
10,10,10,10,18
18,18,18,18,12
128,128,128,12,33
12,12,12,33,20
33,33,33,65,34
65,65,65,20,24
20,20,20,34,36
256,256,34,24,7
34,34,24,36,11
24,24,36,7,40
36,36,7,66,19
7,7,129,11,13
129,129,66,40,48
66,66,11,68,14
512,11,40,19,21
11,40,68,13,35
40,68,130,48,26
68,130,19,14,37
130,19,13,72,25
19,13,48,21,22
13,48,14,35,38
48,14,72,26,41
14,72,21,80,28
72,257,132,37,42
257,21,35,25,49
21,132,26,22,44
132,35,80,38,50
35,258,37,96,15
258,26,25,67,52
26,80,22,41,23
513,37,136,28,56
80,25,38,69,27
37,22,96,42,39
25,136,67,49,29
22,260,41,74,43
136,264,144,70,30
260,38,28,44,45
264,96,69,81,51
38,67,42,50,46
514,41,49,73,53
96,144,74,15,54
67,28,160,52,57
41,69,192,23,58
144,42,70,76,60
28,49,44,82,31
69,74,131,56,47
42,272,81,27,55
516,160,50,97,59
49,288,73,39,61
74,192,15,84,62
272,70,133,29,63
160,44,52,43,
520,131,23,98,
288,81,134,88,
528,50,76,30,
192,73,137,71,
544,15,82,45,
70,320,56,100,
44,133,27,51,
131,52,97,46,
81,23,39,75,
50,134,84,104,
73,384,138,53,
15,76,145,77,
320,137,29,54,
133,82,43,83,
52,56,98,57,
23,27,88,112,
134,97,140,78,
384,39,30,85,
76,259,146,58,
137,84,71,99,
82,138,161,86,
56,145,45,60,
27,261,100,89,
97,29,51,101,
39,43,148,31,
259,98,46,90,
84,88,75,102,
138,140,104,105,
145,30,162,92,
261,146,53,47,
29,71,193,106,
43,262,152,55,
98,265,77,113,
515,161,164,79,
88,45,54,108,
140,100,83,59,
30,51,57,114,
146,148,112,87,
71,46,135,116,
262,75,78,61,
265,266,194,91,
161,273,85,120,
576,104,58,62,
45,162,168,103,
100,53,139,93,
640,193,99,107,
51,152,86,94,
148,77,60,109,
46,164,89,115,
75,268,196,110,
266,274,141,117,
273,54,101,118,
517,83,147,121,
104,57,176,122,
162,112,142,63,
53,135,31,124,
193,78,200,95,
152,289,90,111,
77,194,149,119,
164,85,102,123,
768,276,105,125,
268,58,163,126,
274,168,92,127,
518,139,47,,
54,99,208,,
83,86,150,,
57,60,153,,
521,280,165,,
112,89,106,,
135,290,55,,
78,196,113,,
289,141,154,,
194,101,79,,
85,147,108,,
276,176,224,,
522,142,166,,
58,321,195,,
168,31,59,,
139,200,169,,
99,90,114,,
86,292,156,,
60,322,87,,
280,263,197,,
89,149,116,,
290,102,170,,
529,105,61,,
524,304,177,,
196,296,91,,
141,163,198,,
101,92,172,,
147,47,120,,
176,267,201,,
142,385,62,,
530,324,143,,
321,208,103,,
31,386,178,,
200,150,93,,
90,153,202,,
545,165,107,,
292,106,180,,
322,55,151,,
532,328,209,,
263,113,94,,
149,154,204,,
102,79,155,,
105,269,210,,
304,108,109,,
296,224,184,,
163,166,115,,
92,195,167,,
47,270,225,,
267,275,157,,
385,291,110,,
546,59,117,,
324,169,212,,
208,114,171,,
386,277,226,,
150,156,216,,
153,87,158,,
165,197,118,,
106,116,173,,
55,170,121,,
328,61,199,,
536,281,179,,
577,278,228,,
548,177,174,,
113,293,122,,
154,388,203,,
79,91,63,,
269,198,181,,
108,172,232,,
578,120,124,,
224,201,205,,
166,336,182,,
519,62,211,,
552,282,185,,
195,143,240,,
270,103,206,,
641,178,95,,
523,294,213,,
275,93,186,,
580,202,227,,
291,323,111,,
59,392,214,,
169,297,188,,
560,107,217,,
114,180,229,,
277,151,159,,
156,209,119,,
87,284,218,,
197,94,230,,
116,204,233,,
170,298,175,,
61,400,123,,
531,352,220,,
525,325,183,,
642,155,234,,
281,210,125,,
278,305,241,,
526,300,207,,
177,109,187,,
293,184,236,,
388,115,126,,
91,167,242,,
584,225,244,,
769,326,189,,
198,306,215,,
172,157,219,,
120,329,231,,
201,110,248,,
336,117,190,,
62,212,221,,
282,171,235,,
143,330,222,,
103,226,237,,
178,387,243,,
294,308,238,,
93,216,245,,
644,416,127,,
202,271,191,,
592,279,246,,
323,158,249,,
392,337,250,,
297,118,252,,
770,332,223,,
107,389,239,,
180,173,251,,
151,121,247,,
209,199,253,,
284,179,254,,
648,228,255,,
94,338,,,
204,312,,,
298,390,,,
400,174,,,
608,393,,,
352,283,,,
325,122,,,
533,448,,,
155,353,,,
210,203,,,
305,63,,,
547,340,,,
300,394,,,
109,181,,,
184,295,,,
534,285,,,
537,232,,,
115,124,,,
167,205,,,
225,182,,,
326,286,,,
306,299,,,
772,354,,,
157,211,,,
656,401,,,
329,185,,,
110,396,,,
117,344,,,
212,240,,,
171,206,,,
776,95,,,
330,327,,,
226,402,,,
549,356,,,
538,307,,,
387,301,,,
308,417,,,
216,213,,,
416,186,,,
271,404,,,
279,227,,,
158,418,,,
337,302,,,
550,360,,,
672,111,,,
118,331,,,
332,214,,,
579,309,,,
540,188,,,
389,449,,,
173,217,,,
121,408,,,
553,229,,,
199,159,,,
784,420,,,
179,310,,,
228,333,,,
338,119,,,
312,339,,,
704,218,,,
390,368,,,
174,230,,,
554,391,,,
581,313,,,
393,450,,,
283,334,,,
122,233,,,
448,175,,,
353,123,,,
561,341,,,
203,220,,,
63,314,,,
340,424,,,
394,395,,,
527,355,,,
582,287,,,
556,183,,,
181,234,,,
295,125,,,
285,342,,,
232,316,,,
124,241,,,
205,345,,,
182,452,,,
643,397,,,
562,403,,,
286,207,,,
585,432,,,
299,357,,,
354,187,,,
211,236,,,
401,126,,,
185,242,,,
396,398,,,
